Question Number,Question,Answer,Category,Difficulty
150,Write a C++ program to implement the Knapsack problem using dynamic programming.,"int knapsack(int W, vector<int>& wt, vector<int>& val, int n) {\n    vector<vector<int>> dp(n + 1, vector<int>(W + 1, 0));\n    for (int i = 1; i <= n; i++) {\n        for (int w = 1; w <= W; w++) {\n            if (wt[i - 1] <= w) dp[i][w] = max(dp[i - 1][w], val[i - 1] + dp[i - 1][w - wt[i - 1]]);\n            else dp[i][w] = dp[i - 1][w];\n        }\n    }\n    return dp[n][W];\n}",C++,Hard
151,Write a C++ program to find the longest increasing subsequence (LIS) in a sequence of numbers.,"int LIS(vector<int>& nums) {\n    int n = nums.size();\n    vector<int> dp(n, 1);\n    for (int i = 1; i < n; i++) {\n        for (int j = 0; j < i; j++) {\n            if (nums[i] > nums[j]) dp[i] = max(dp[i], dp[j] + 1);\n        }\n    }\n    return *max_element(dp.begin(), dp.end());\n}",C++,Hard
152,Write a C++ program to implement a disjoint set (union-find) data structure.,"class DisjointSet {\n    vector<int> parent, rank;\n    public:\n        DisjointSet(int n) {\n            parent.resize(n);\n            rank.resize(n, 0);\n            for (int i = 0; i < n; i++) parent[i] = i;\n        }\n        int find(int x) {\n            if (parent[x] != x) parent[x] = find(parent[x]);\n            return parent[x];\n        }\n        void unionSet(int x, int y) {\n            int rootX = find(x), rootY = find(y);\n            if (rootX != rootY) {\n                if (rank[rootX] < rank[rootY]) parent[rootX] = rootY;\n                else if (rank[rootX] > rank[rootY]) parent[rootY] = rootX;\n                else {\n                    parent[rootY] = rootX;\n                    rank[rootX]++;\n                }\n            }\n        }\n};",C++,Hard
153,Write a C++ program to solve the N-Queens problem using backtracking.,"bool isSafe(vector<vector<int>>& board, int row, int col) {\n    for (int i = 0; i < col; i++) if (board[row][i]) return false;\n    for (int i = row, j = col; i >= 0 && j >= 0; i--, j--) if (board[i][j]) return false;\n    for (int i = row, j = col; j >= 0 && i < board.size(); i++, j--) if (board[i][j]) return false;\n    return true;\n}\nbool solveNQueensUtil(vector<vector<int>>& board, int col) {\n    if (col >= board.size()) return true;\n    for (int i = 0; i < board.size(); i++) {\n        if (isSafe(board, i, col)) {\n            board[i][col] = 1;\n            if (solveNQueensUtil(board, col + 1)) return true;\n            board[i][col] = 0;\n        }\n    }\n    return false;\n}\nvoid solveNQueens(int n) {\n    vector<vector<int>> board(n, vector<int>(n, 0));\n    if (solveNQueensUtil(board, 0)) {\n        for (auto& row : board) {\n            for (int cell : row) cout << (cell ? \Q\"" : \"".\"");\n            cout << endl;\n        }\n    }\n}""",C++,Hard
154,What is cloud computing?,"Cloud computing delivers computing services over the internet, such as servers, storage, databases, and software.",Cloud Computing,Easy
155,What are the types of cloud deployment models?,"Public cloud, private cloud, hybrid cloud, and community cloud are common deployment models.",Cloud Computing,Easy
156,What is IaaS?,Infrastructure as a Service provides virtualized computing resources over the internet.,Cloud Computing,Easy
157,What is PaaS?,"Platform as a Service provides a platform allowing customers to develop, run, and manage applications.",Cloud Computing,Easy
158,What is SaaS?,Software as a Service delivers software applications over the internet on a subscription basis.,Cloud Computing,Easy
159,What is AWS?,"Amazon Web Services (AWS) is a comprehensive cloud platform offering over 200 services like EC2, S3, Lambda, etc.",Cloud Computing,Easy
160,What is the use of S3 in AWS?,Amazon S3 is a storage service used to store and retrieve any amount of data at any time.,Cloud Computing,Easy
161,What is virtualization in cloud computing?,"Virtualization enables the creation of virtual instances of servers, storage devices, and networks.",Cloud Computing,Easy
162,What are availability zones?,Availability zones are isolated locations within a cloud region that provide high availability and fault tolerance.,Cloud Computing,Easy
163,What are common benefits of cloud computing?,"Scalability, cost efficiency, disaster recovery, performance, and accessibility.",Cloud Computing,Easy
164,How do you design a fault-tolerant cloud application?,"By distributing resources across multiple availability zones and using load balancers, redundancy, and auto-scaling.",Cloud Computing,Medium
165,What is containerization and how does it help in the cloud?,"Containerization packages an application and its dependencies into a container, ensuring consistent behavior across environments.",Cloud Computing,Medium
166,Explain auto-scaling with a real-life example.,"Auto-scaling adds/removes server instances based on traffic. E.g., an e-commerce site adding more servers during holiday sales.",Cloud Computing,Medium
167,How would you secure a cloud application?,"By using IAM policies, encrypting data, using HTTPS, applying firewall rules, and regular security audits.",Cloud Computing,Medium
168,What are cloud-native applications?,"Cloud-native apps are designed specifically for the cloud environment using microservices, containers, and DevOps practices.",Cloud Computing,Medium
169,What is serverless computing?,"Serverless allows running code without managing servers. The cloud provider handles infrastructure (e.g., AWS Lambda).",Cloud Computing,Medium
170,How do you monitor cloud infrastructure?,"By using tools like AWS CloudWatch, Azure Monitor, or GCP Operations to collect and visualize metrics and logs.",Cloud Computing,Medium
171,What is the difference between scaling vertically and horizontally?,Vertical scaling increases power of a single server; horizontal adds more servers to the system.,Cloud Computing,Medium
172,Explain the use of a CDN in a cloud app.,A CDN delivers content from servers closest to the user to reduce latency and improve performance.,Cloud Computing,Medium
173,How would you migrate a legacy application to the cloud?,"By assessing the app, choosing a migration strategy (e.g., rehosting), testing in the cloud, and gradually moving production.",Cloud Computing,Medium
174,Design a highly available video streaming platform using cloud services.,"Use S3 for storage, CloudFront for CDN, EC2 or Lambda for processing, and RDS/DynamoDB for metadata.",Cloud Computing,Hard
175,How would you secure sensitive health data in a healthcare cloud app?,"Use HIPAA-compliant services, encryption (at rest & transit), strict access controls, and regular audits.",Cloud Computing,Hard
176,How can you implement disaster recovery in the cloud?,"By setting up cross-region replication, backups, failover clusters, and using automated recovery tools.",Cloud Computing,Hard
177,How would you optimize cloud costs for a startup?,"Use reserved instances, monitor with billing tools, set budgets/alerts, auto-scale, and avoid idle resources.",Cloud Computing,Hard
178,Explain multi-tenancy in a SaaS cloud environment.,"Multi-tenancy means a single instance serves multiple customers, with data and configs separated securely.",Cloud Computing,Hard
179,What are the challenges of vendor lock-in in cloud computing?,"Lack of portability, integration issues, high switching costs, and dependency on vendor-specific services.",Cloud Computing,Hard
180,How would you implement end-to-end encryption in a cloud app?,"Encrypt data client-side, use TLS/HTTPS, and manage keys securely using KMS or third-party tools.",Cloud Computing,Hard
181,What are spot instances and how would you use them?,Spot instances offer spare cloud capacity at a discount; ideal for non-critical or batch jobs.,Cloud Computing,Hard
182,Design a scalable IoT backend using cloud services.,"Use MQTT or HTTP endpoints, store data in DynamoDB, process with Lambda, visualize with QuickSight.",Cloud Computing,Hard
183,How can cloud computing support machine learning workflows?,"Provides scalable compute, storage, tools like SageMaker, and frameworks for training, testing, and deploying ML models.",Cloud Computing,Hard
184,What is data engineering?,"Data engineering involves building systems to collect, store, and process data for analysis and applications.",Data Engineering,Easy
185,What is a data pipeline?,A data pipeline is a series of steps that move and transform data from source to destination.,Data Engineering,Easy
